Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;First Review;Last Review;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month
Delicias;Arganzuela;House;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Elevator in building,Heating,Family/kid friendly;25.0;;;1;0;2;30;17;47;77;352;13;2016-09-30;2017-04-04;92.0;9.0;9.0;10.0;9.0;9.0;9.0;strict;2.04
Guindalera;Salamanca;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Iron;62.0;150.0;;1;0;4;1125;2;2;24;86;0;;;;;;;;;;moderate;
Embajadores;Centro;Loft;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;60.0;200.0;;1;0;7;1125;0;0;22;297;1;2016-07-14;2016-07-14;;;;;;;;moderate;0.11
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;40.0;;15.0;1;0;1;20;10;24;37;287;32;2016-10-01;2017-04-05;83.0;9.0;9.0;10.0;10.0;10.0;8.0;strict;5.05
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in;55.0;;20.0;2;10;1;1125;0;0;0;0;28;2015-09-07;2016-06-20;88.0;9.0;9.0;9.0;10.0;10.0;9.0;flexible;1.45
Embajadores;Centro;Apartment;Entire home/apt;4;2.0;1.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron;200.0;;;1;0;1;60;4;16;35;204;0;;;;;;;;;;flexible;
Justicia;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Essentials;88.0;200.0;40.0;2;20;2;1125;6;25;45;294;37;2014-04-27;2017-03-27;85.0;9.0;9.0;9.0;9.0;10.0;9.0;strict;1.03
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Heating,Washer;70.0;;;1;0;1;365;14;33;54;327;21;2014-07-01;2017-03-05;79.0;9.0;9.0;9.0;8.0;9.0;8.0;flexible;0.62
Palos de Moguer;Arganzuela;Condominium;Private room;1;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Pets allowed,Breakfast,Pets live on this property,Elevator in building,Heating,Washer,First aid kit,Essentials,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;12.0;;;1;0;5;30;0;0;0;0;1;2016-06-17;2016-06-17;;;;;;;;moderate;0.1
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50;49.0;150.0;30.0;3;0;2;1125;7;19;36;36;84;2015-10-29;2017-04-06;98.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;4.77
Castellana;Salamanca;Apartment;Entire home/apt;4;2.5;2.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Gym,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;230.0;;160.0;1;0;5;90;7;7;23;24;2;2017-01-05;2017-02-02;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.64
Argüelles;Moncloa - Aravaca;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Elevator in building,Heating,Shampoo,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;95.0;120.0;10.0;1;0;1;1125;0;0;0;0;0;;;;;;;;;;flexible;
Universidad;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Hangers,translation missing: en.hosting_amenity_50;20.0;100.0;10.0;1;8;3;50;1;1;30;305;0;;;;;;;;;;flexible;
Embajadores;Centro;Apartment;Entire home/apt;7;3.0;3.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron;100.0;100.0;40.0;6;20;2;1125;3;15;30;298;4;2016-11-13;2017-03-17;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.82
Sol;Centro;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Laptop friendly workspace;78.0;150.0;20.0;4;15;3;1125;15;41;46;312;13;2016-06-01;2017-03-13;91.0;10.0;9.0;10.0;9.0;10.0;9.0;moderate;1.25
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron;55.0;100.0;30.0;2;0;2;1125;5;11;11;75;81;2015-11-05;2017-03-31;91.0;10.0;9.0;10.0;9.0;10.0;9.0;strict;4.66
Arapiles;Chamberí;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Washer,Fire extinguisher,Shampoo,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;40.0;;;1;0;1;1125;20;26;56;331;0;;;;;;;;;;flexible;
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron;61.0;200.0;40.0;3;15;4;1125;2;2;4;276;18;2014-10-13;2017-03-13;91.0;9.0;9.0;10.0;9.0;10.0;9.0;moderate;0.59
Goya;Salamanca;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Hangers,Iron;80.0;;20.0;2;0;3;1125;0;0;22;297;12;2014-09-14;2017-01-02;95.0;10.0;9.0;10.0;10.0;10.0;10.0;flexible;0.38
Gaztambide;Chamberí;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Suitable for events,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;15.0;;;1;0;1;10;7;37;67;157;7;2016-10-01;2017-02-01;97.0;10.0;10.0;10.0;10.0;10.0;9.0;flexible;1.11
Abrantes;Carabanchel;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace;50.0;100.0;15.0;2;5;2;1125;9;18;43;44;15;2016-10-08;2017-03-22;100.0;10.0;10.0;10.0;10.0;9.0;10.0;flexible;2.46
Campamento;Latina;Bed & Breakfast;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,translation missing: en.hosting_amenity_50;27.0;;;1;20;1;1125;30;60;89;364;6;2015-07-04;2016-05-22;97.0;10.0;10.0;10.0;10.0;9.0;10.0;flexible;0.28
Casa de Campo;Moncloa - Aravaca;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Smoke detector,Carbon monoxide detector,Essentials,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;35.0;;;1;0;2;1125;30;60;90;365;0;;;;;;;;;;flexible;
Embajadores;Centro;Condominium;Entire home/apt;4;1.0;1.0;2.0;Real Bed;Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;69.0;;;1;0;2;365;4;16;36;288;0;;;;;;;;;;flexible;
Trafalgar;Chamberí;Condominium;Shared room;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Smoking allowed,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;70.0;;;1;0;1;1125;30;60;90;365;0;;;;;;;;;;flexible;
Universidad;Centro;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Pets live on this property,Elevator in building,Heating,Suitable for events,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;12.0;;10.0;1;5;1;1125;3;5;14;64;33;2016-08-10;2017-03-28;93.0;10.0;9.0;10.0;9.0;10.0;9.0;strict;4.09
Cortes;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;Wireless Internet,Air conditioning,Kitchen,Breakfast,Hot tub,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;68.0;;30.0;2;15;5;1125;2;4;22;97;45;2015-02-02;2017-03-29;95.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.69
Universidad;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50;35.0;;10.0;1;10;2;10;6;25;55;55;34;2016-04-17;2017-04-06;98.0;10.0;10.0;10.0;10.0;10.0;9.0;flexible;2.86
Imperial;Arganzuela;Other;Private room;1;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Washer,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;20.0;90.0;;1;0;1;31;0;0;0;0;0;;;;;;;;;;flexible;
Trafalgar;Chamberí;Apartment;Entire home/apt;6;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials;49.0;;30.0;4;10;2;1125;25;55;85;360;22;2015-09-18;2017-01-07;70.0;7.0;8.0;8.0;9.0;9.0;8.0;strict;1.16
Pilar;Fuencarral - El Pardo;Apartment;Private room;4;1.5;1.0;3.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Laptop friendly workspace;18.0;;;1;15;2;7;19;49;76;326;26;2014-04-12;2017-02-09;94.0;9.0;9.0;10.0;10.0;9.0;9.0;flexible;0.71
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50;80.0;150.0;35.0;1;0;3;1125;6;20;50;50;17;2016-11-01;2017-03-29;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;3.21
Adelfas;Retiro;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50,Private entrance;30.0;;;1;10;2;1125;8;20;46;263;27;2014-12-08;2017-01-15;93.0;10.0;10.0;10.0;10.0;8.0;10.0;moderate;0.95
Cortes;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;51.0;100.0;30.0;1;0;3;1125;9;27;27;300;120;2014-05-06;2017-03-23;92.0;10.0;9.0;10.0;9.0;10.0;9.0;moderate;3.37
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Dryer,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;50.0;;;1;0;2;3;3;3;9;10;2;2017-02-05;2017-03-05;100.0;9.0;9.0;8.0;10.0;10.0;9.0;flexible;0.95
Goya;Salamanca;Apartment;Entire home/apt;6;2.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;160.0;250.0;49.0;4;10;2;1125;5;16;30;251;10;2016-05-04;2017-03-16;88.0;9.0;9.0;9.0;9.0;10.0;9.0;strict;0.88
Arapiles;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace,Self Check-In,Smartlock;65.0;;20.0;1;0;21;1125;1;1;8;164;12;2016-08-02;2017-02-07;95.0;10.0;10.0;10.0;10.0;9.0;9.0;flexible;1.44
Recoletos;Salamanca;Apartment;Entire home/apt;4;2.5;2.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron;250.0;700.0;140.0;1;0;3;1125;15;41;48;309;0;;;;;;;;;;strict;
Puerta del Angel;Latina;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron;40.0;;;1;0;2;1125;0;14;42;132;2;2017-04-03;2017-04-07;100.0;10.0;9.0;10.0;10.0;9.0;9.0;flexible;2.0
Guindalera;Salamanca;House;Private room;1;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Pets live on this property,Cat(s),Elevator in building,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;26.0;;10.0;1;0;1;1125;2;9;26;26;16;2016-12-09;2017-04-05;93.0;9.0;9.0;10.0;10.0;9.0;9.0;moderate;3.97
Rios Rosas;Chamberí;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Pets allowed,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,24-hour check-in,Hangers,Hair dryer,Iron;79.0;;30.0;1;0;2;1125;5;13;17;281;8;2016-01-03;2017-01-01;98.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.52
Imperial;Arganzuela;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Pool,Pets allowed,Doorman,Gym,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;38.0;;20.0;1;10;2;19;19;49;79;354;23;2015-05-30;2016-11-18;92.0;9.0;9.0;9.0;10.0;9.0;9.0;moderate;1.01
Puerta del Angel;Latina;Condominium;Entire home/apt;3;1.5;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;70.0;;20.0;1;0;1;1125;0;0;0;0;2;2016-10-05;2016-11-01;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.32
Palacio;Centro;Apartment;Entire home/apt;6;2.0;2.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Fire extinguisher,Hangers,Iron;120.0;200.0;50.0;1;0;2;1125;6;14;22;297;3;2017-03-12;2017-03-26;73.0;10.0;7.0;10.0;10.0;10.0;10.0;strict;3.0
Sol;Centro;Condominium;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Breakfast,Heating,Family/kid friendly,Washer,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace;45.0;;25.0;2;10;2;1125;9;9;9;44;0;;;;;;;;;;flexible;
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox;80.0;100.0;30.0;2;15;2;365;1;12;22;268;34;2012-06-10;2016-09-27;93.0;9.0;9.0;10.0;10.0;9.0;9.0;strict;0.58
Goya;Salamanca;Apartment;Entire home/apt;3;1.0;0.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;40.0;;15.0;2;15;3;1125;5;12;25;285;5;2017-01-29;2017-03-25;92.0;9.0;10.0;10.0;10.0;10.0;9.0;flexible;2.14
Arapiles;Chamberí;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Heating,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace;55.0;;17.0;1;0;5;1125;0;0;0;0;2;2016-07-24;2016-08-14;100.0;10.0;9.0;10.0;10.0;10.0;10.0;moderate;0.23
Universidad;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Smoking allowed,Buzzer/wireless intercom,Heating,First aid kit,Fire extinguisher,Shampoo,Lock on bedroom door,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;25.0;;;1;0;2;1125;0;0;0;0;1;2016-05-23;2016-05-23;80.0;10.0;8.0;10.0;10.0;10.0;8.0;flexible;0.09
Numancia;Puente de Vallecas;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;25.0;;;1;10;1;14;24;54;81;356;3;2017-02-26;2017-04-02;93.0;10.0;10.0;10.0;10.0;9.0;9.0;flexible;2.14
Castellana;Salamanca;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Kitchen,Smoking allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Suitable for events,Washer,Essentials,Shampoo,Hangers,Iron;60.0;;;1;0;2;1125;29;59;89;364;3;2016-09-18;2016-10-23;93.0;9.0;9.0;10.0;10.0;10.0;8.0;strict;0.44
Embajadores;Centro;Apartment;Entire home/apt;16;2.0;5.0;16.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;200.0;200.0;60.0;9;30;2;33;10;29;50;287;0;;;;;;;;;;strict;
Trafalgar;Chamberí;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Essentials,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;45.0;100.0;;1;0;6;1125;29;59;89;364;1;2016-10-18;2016-10-18;100.0;10.0;10.0;;10.0;;;moderate;0.17
Valverde;Fuencarral - El Pardo;House;Private room;1;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,translation missing: en.hosting_amenity_50;25.0;;;1;0;1;1125;30;60;90;365;1;2016-07-03;2016-07-03;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.11
Universidad;Centro;Apartment;Entire home/apt;3;1.0;0.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer;69.0;;;1;0;3;365;15;45;75;350;18;2014-05-18;2017-01-07;80.0;8.0;9.0;8.0;8.0;9.0;8.0;strict;0.51
Embajadores;Centro;Guesthouse;Private room;3;1.0;1.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Elevator in building,Heating,Family/kid friendly,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer;65.0;;;1;0;1;1125;15;37;57;293;3;2016-09-01;2017-03-12;93.0;9.0;9.0;10.0;10.0;10.0;9.0;flexible;0.41
Palacio;Centro;Apartment;Entire home/apt;9;2.0;4.0;7.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;135.0;300.0;60.0;4;20;3;1125;7;19;30;275;15;2014-06-02;2017-03-18;89.0;9.0;9.0;9.0;9.0;10.0;9.0;strict;0.43
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Fire extinguisher,Essentials,Shampoo;136.0;;;1;0;1;1125;21;51;81;356;2;2016-10-03;2016-10-29;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.32
Justicia;Centro;Apartment;Private room;1;1.0;;;Real Bed;Wireless Internet,Kitchen,Breakfast,Heating,Washer,Smoke detector,Essentials,Lock on bedroom door,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;68.0;;;1;0;1;1125;0;0;0;74;1;2017-02-19;2017-02-19;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.61
Peñagrande;Fuencarral - El Pardo;Apartment;Entire home/apt;5;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Pool,Kitchen,Free parking on premises,Smoking allowed,Elevator in building,Heating,Family/kid friendly,Suitable for events,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Bathtub,Room-darkening shades;65.0;100.0;25.0;4;10;3;1125;10;10;28;28;0;;;;;;;;;;flexible;
Arapiles;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;40.0;;;1;0;30;1125;0;5;20;72;11;2015-06-05;2017-03-29;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.49
Universidad;Centro;Apartment;Entire home/apt;6;2.0;2.0;3.0;Real Bed;TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace;89.0;103.0;35.0;4;20;2;1125;2;2;2;2;2;2017-03-24;2017-03-30;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;2.0
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;80.0;300.0;40.0;1;0;2;1125;9;17;33;33;137;2013-05-20;2017-03-25;91.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;2.89
Palacio;Centro;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace;80.0;100.0;40.0;3;15;2;1125;6;20;47;318;10;2016-12-05;2017-03-26;92.0;9.0;9.0;9.0;9.0;10.0;9.0;flexible;2.4
Jerónimos;Retiro;Apartment;Entire home/apt;6;2.0;3.0;5.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo;280.0;90.0;40.0;4;25;2;1125;0;0;0;0;3;2016-01-03;2016-05-04;93.0;10.0;10.0;10.0;10.0;9.0;9.0;strict;0.19
